model,method,seed,n,status,path
mlp,shap,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_456\n_200\results.json
mlp,shap,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_789\n_50\results.json
mlp,shap,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_789\n_100\results.json
mlp,shap,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_789\n_200\results.json
mlp,shap,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_999\n_50\results.json
mlp,shap,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_999\n_100\results.json
mlp,shap,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_shap\seed_999\n_200\results.json
rf,anchors,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_50\results.json
rf,anchors,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_100\results.json
rf,anchors,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_42\n_200\results.json
rf,anchors,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_50\results.json
rf,anchors,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_100\results.json
rf,anchors,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_123\n_200\results.json
rf,anchors,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_50\results.json
rf,anchors,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_100\results.json
rf,anchors,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_456\n_200\results.json
rf,anchors,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_50\results.json
rf,anchors,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_100\results.json
rf,anchors,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_789\n_200\results.json
rf,anchors,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_50\results.json
rf,anchors,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_100\results.json
rf,anchors,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_anchors\seed_999\n_200\results.json
rf,dice,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_50\results.json
rf,dice,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_100\results.json
rf,dice,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_42\n_200\results.json
rf,dice,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_123\n_50\results.json
rf,dice,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_123\n_100\results.json
rf,dice,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_123\n_200\results.json
rf,dice,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_456\n_50\results.json
rf,dice,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_456\n_100\results.json
rf,dice,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_456\n_200\results.json
rf,dice,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_789\n_50\results.json
rf,dice,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_789\n_100\results.json
rf,dice,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_789\n_200\results.json
rf,dice,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_999\n_50\results.json
rf,dice,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_999\n_100\results.json
rf,dice,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_dice\seed_999\n_200\results.json
rf,lime,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_42\n_50\results.json
rf,lime,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_42\n_100\results.json
rf,lime,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_42\n_200\results.json
rf,lime,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_123\n_50\results.json
rf,lime,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_123\n_100\results.json
rf,lime,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_123\n_200\results.json
rf,lime,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_456\n_50\results.json
rf,lime,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_456\n_100\results.json
rf,lime,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_456\n_200\results.json
rf,lime,789,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_789\n_50\results.json
rf,lime,789,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_789\n_100\results.json
rf,lime,789,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_789\n_200\results.json
rf,lime,999,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_999\n_50\results.json
rf,lime,999,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_999\n_100\results.json
rf,lime,999,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_lime\seed_999\n_200\results.json
rf,shap,42,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_42\n_50\results.json
rf,shap,42,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_42\n_100\results.json
rf,shap,42,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_42\n_200\results.json
rf,shap,123,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_123\n_50\results.json
rf,shap,123,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_123\n_100\results.json
rf,shap,123,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_123\n_200\results.json
rf,shap,456,50,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_456\n_50\results.json
rf,shap,456,100,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_456\n_100\results.json
rf,shap,456,200,ok_instance,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\rf_shap\seed_456\n_200\results.json
