model,seed,n,shap_fidelity,lime_fidelity,diff_fidelity,shap_stability,lime_stability,diff_stability,shap_sparsity,lime_sparsity,diff_sparsity,shap_faithfulness_gap,lime_faithfulness_gap,diff_faithfulness_gap,shap_cost,lime_cost,diff_cost
rf,456,100,0.7377687089702316,0.46648945024554633,0.2712792587246853,0.9506124946155978,0.006351795274857809,0.94426069934074,0.48483796296296305,0.08444444444444443,0.4003935185185186,0.40180916666666666,0.3527675,0.04904166666666665,1689.2401799999998,335.64228499999996,1353.5978949999999
rf,456,200,0.7194819908392607,0.455848578543592,0.26363341229566867,0.9512923836384981,0.007322983272431158,0.9439694003660669,0.482879105520615,0.08501316991883028,0.39786593560178474,0.38512506047411715,0.3349158200290276,0.050209240445089565,6678.3022177068215,918.6753686502176,5759.6268490566035
rf,789,50,0.7353942999561899,0.4424749496965383,0.2929193502596516,0.9517321681030595,0.0407713295076436,0.9109608385954159,0.4673611111111111,0.08324074074074073,0.3841203703703704,0.4020375,0.32762250000000004,0.07441499999999995,1244.162605,303.861085,940.30152
rf,789,100,0.728780372817059,0.46335823847349317,0.2654221343435658,0.9449435824488294,0.03875120573653916,0.9061923767122902,0.4675694444444444,0.08506944444444443,0.3825,0.39949375000000004,0.3328091666666667,0.06668458333333332,1076.42261,299.6830175,776.7395925000001
rf,789,200,0.7210386096111998,0.46105224473304945,0.25998636487815036,0.9493647226807865,0.04126039301898584,0.9081043296618007,0.46489425816348895,0.08493589743589743,0.37995836072759154,0.39209689349112425,0.32792578895463503,0.06417110453648922,1191.2815340236687,306.1139955621302,885.1675384615385
rf,999,50,0.729929613886256,0.47254287306936676,0.2573867408168892,0.9563591938073421,0.029292288668495113,0.927066905138847,0.46944444444444444,0.0835185185185185,0.38592592592592595,0.4084733333333333,0.34948166666666663,0.058991666666666664,7835.639840000001,375.70241999999996,7459.937420000001
rf,999,100,0.7314354663019995,0.4680126586511305,0.263422807650869,0.9524707904441274,0.028635781693965544,0.9238350087501619,0.4697916666666667,0.08391203703703702,0.3858796296296297,0.40254166666666663,0.3413416666666667,0.06119999999999992,1162.5565849999998,742.6653849999999,419.8911999999999
rf,999,200,0.7188928395894968,0.4618740174168826,0.2570188221726142,0.952611799315541,0.02983917241382631,0.9227726269017147,0.46879191168884754,0.08411998349324253,0.38467192819560503,0.38320566388115135,0.33078667595171773,0.052418987929433614,1593.4366699164343,334.5267465181058,1258.9099233983284
xgb,42,50,0.7824505062109804,0.5307848670075532,0.2516656392034272,0.5984453159520303,0.0024036296498505067,0.5960416863021798,0.35407407407407404,0.08222222222222221,0.27185185185185184,0.44040421546204017,0.3635715183452703,0.07683269711676988,18.238065000000002,60.330045,-42.09197999999999
xgb,42,100,0.7779008570263747,0.5289764690697483,0.24892438795662641,0.610748973123999,0.003911416647849287,0.6068375564761497,0.3528935185185185,0.08296296296296295,0.26993055555555556,0.4285556142270798,0.36010330579360017,0.0684523084334796,17.562040000000003,61.7503025,-44.18826249999999
