model,method,seed,n,path,fidelity,stability,sparsity,faithfulness_gap,cost
mlp,dice,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_789\n_100\results.json,0.03372826373896513,0.13645949816256764,0.015555555555555553,0.06771247396431254,63419.066815
mlp,dice,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_789\n_200\results.json,0.024135629545824874,0.1231857786850242,0.01528935185185185,0.0673884878654131,8126.20712375
mlp,dice,999,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_999\n_50\results.json,0.021632718044316022,0.13281319461208088,0.015972222222222224,0.07876838900971196,8023.557964999999
mlp,dice,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_999\n_100\results.json,0.027928925155434055,0.11988460934253332,0.015648148148148147,0.07379627269945492,8572.3274375
mlp,dice,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_dice\seed_999\n_200\results.json,0.029726563551504052,0.12116627529056753,0.01528935185185185,0.07876271509978074,8783.276116250001
mlp,lime,42,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_42\n_50\results.json,0.5191085288575897,0.0024779716934268457,0.08444444444444443,0.38071907979270775,55.112385
mlp,lime,42,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_42\n_100\results.json,0.5304479746444511,0.0027915682776652457,0.08365740740740739,0.36798434494319493,50.0950475
mlp,lime,42,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_42\n_200\results.json,0.5362160329598797,0.0025953134515438086,0.08359953703703703,0.37738394083758253,51.05392375
mlp,lime,123,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_123\n_50\results.json,0.5590957288706778,0.001963334278710046,0.08467592592592592,0.3438828819430097,46.39605
mlp,lime,123,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_123\n_100\results.json,0.5576530367509204,0.0027828716850650925,0.08379629629629629,0.33188789059521695,54.504617499999995
mlp,lime,123,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_123\n_200\results.json,0.5461329622819585,0.002262917101365631,0.08505787037037034,0.34544861206197686,52.683155
mlp,lime,456,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_456\n_50\results.json,0.561591523670099,0.002991175359565114,0.08430555555555555,0.33251619255999737,57.030260000000006
mlp,lime,456,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_456\n_100\results.json,0.5533617336455624,0.002898464141105613,0.08474537037037039,0.3488778503947178,52.8733475
mlp,lime,456,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_456\n_200\results.json,0.5486650322596283,0.0027507314065446276,0.08484953703703703,0.35116624446244044,51.30015
mlp,lime,789,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_789\n_50\results.json,0.5177427556624393,0.017342879106735883,0.0850925925925926,0.3198741558710003,53.311155
mlp,lime,789,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_789\n_100\results.json,0.526717083737779,0.015864636437923272,0.08421296296296293,0.34637776467253617,51.84637000000001
mlp,lime,789,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_789\n_200\results.json,0.5451374919460733,0.016566462395427303,0.08586805555555553,0.3534658236580245,46.049445000000006
mlp,lime,999,50,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_999\n_50\results.json,0.5318732910425891,0.010734328779236862,0.08407407407407405,0.3487815060165825,46.363139999999994
mlp,lime,999,100,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_999\n_100\results.json,0.5373938138177465,0.01176819424844653,0.08553240740740739,0.35542428921184394,52.7969125
mlp,lime,999,200,C:\Users\jonna\Github\xai-eval-framework\experiments\exp2_scaled\results\mlp_lime\seed_999\n_200\results.json,0.5495373520424094,0.011780203693325162,0.0861574074074074,0.3633444910428237,52.4340225
mlp,shap,42,50,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s42_n50,0.7272829675690485,0.339002990562621,0.0925925925925925,0.3867995507732061,694.5557963717147
mlp,shap,42,100,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s42_n100,0.7266618828336209,0.346499524351255,0.0925925925925925,0.3768782678417252,699.1376014170237
mlp,shap,42,200,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s42_n200,0.7306666433281586,0.340423146997562,0.0925925925925925,0.3884918011726677,455.58718026819406
mlp,shap,123,50,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s123_n50,0.7173165617024394,0.3115593355671529,0.0925925925925925,0.3689921801934198,403.0990393122193
mlp,shap,123,100,C:\Users\jonna\Github\xai-eval-framework\outputs\batch_results.csv::rec_p1_exp2_mlp_shap_s123_n100,0.7186076615940948,0.3227976086845592,0.0925925925925925,0.3708143079752847,523.6270365054952
