model,n,method,fidelity,stability,sparsity,faithfulness_gap,cost
svm,100,anchors,0.5148616105215322,0.021911659413907193,0.04206252338196782,0.2962498237850328,34615.973032999995
svm,100,dice,0.1662920898017217,0.29438498314176853,0.01154513888888889,0.051494216636325835,26269.4870725
svm,100,lime,0.5914234895369486,0.018811834144112426,0.08525925925925926,0.296858208896834,12540.5199455
svm,100,shap,0.8815969925380344,0.9240205280989076,0.0925925925925925,0.34470502734165953,60562.56574514914
svm,200,anchors,0.5134965116808885,0.2385707693281558,0.041353663291556896,0.2926331577859065,38467.017420749995
svm,200,dice,0.21881562398237472,0.3941425073287044,0.015523148148148147,0.06608610791857131,66578.16957275002
svm,200,lime,0.5942620073529905,0.01852983183376626,0.08452314814814813,0.2987931351567672,12862.584410749998
svm,200,shap,0.8829772519422502,0.9236315955039057,0.0925925925925925,0.3457926940691174,41534.03687228507
xgb,50,anchors,0.31011135331521034,0.08486140778833579,0.05923611111111111,0.21349075680038368,63617.13206249999
xgb,50,dice,0.3339074946912712,0.5665476794504012,0.016685185185185185,0.18787917661329265,47629.791662
xgb,50,lime,0.5530319296803134,0.00982399642644211,0.08452777777777779,0.374448179353145,246.211031
xgb,50,shap,0.7593362814751232,0.5735470703710673,0.37590740740740736,0.434394243973773,25.960413
xgb,100,anchors,0.31912941184636245,0.13261795358027811,0.056638888888888884,0.22426810046847095,51923.71135700001
xgb,100,dice,0.33046540380712286,0.5710129468303718,0.016898148148148148,0.18481865276735332,12982.074318750001
xgb,100,lime,0.5511265220489814,0.010398597906713292,0.08413425925925923,0.3723418505978916,62.03839849999999
xgb,100,shap,0.7584329907320597,0.5771330887511361,0.37590740740740736,0.42990924176678524,19.029957500000002
xgb,200,anchors,0.31867903818687965,0.08063548636552435,0.05923032407407407,0.22294430384907174,59019.112734999995
xgb,200,dice,0.3204279645578171,0.5715896025471185,0.016625,0.17761897242884153,10601.889916999999
xgb,200,lime,0.5543080925767405,0.010054521092262585,0.08429166666666665,0.3721600946905528,58.58486875
xgb,200,shap,0.758998466650817,0.5748178905771034,0.3763009259259259,0.43001317193760774,17.1231505
