instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
7969,TP,True,197.11890001781285,0.5462962962962963,0.8464350775910846,0.5599999999999999,0.6,0.3333333333333333,0.6916951578341689
3365,TP,True,451.0131999850273,0.49074074074074076,0.8955353644674667,0.82,1.0,0.6666666666666666,0.9996443531806329
7092,TP,True,221.66749997995794,0.5462962962962963,0.9039164496376899,0.71,0.8,0.5,0.9724204089564193
5678,TP,True,235.73019984178245,0.5277777777777778,0.9241834921631429,0.85,1.0,0.6666666666666666,0.9891386081208287
4824,TP,True,191.546400077641,0.5555555555555556,0.8392479518143706,0.6000000000000001,0.8,0.5,0.9342578648476321
8775,TP,True,256.30309991538525,0.5370370370370371,0.7912353966462291,0.35,0.6,0.3333333333333333,0.9512059864947612
3611,TP,True,246.85160000808537,0.5370370370370371,0.9503901034720302,0.73,1.0,0.6666666666666666,0.9647957203204777
7772,TP,True,218.69260002858937,0.5092592592592593,0.8926563196039851,0.82,0.8,0.5,0.9673788004966127
314,TP,True,248.98040015250444,0.5370370370370371,0.8506600407395208,0.8300000000000001,0.8,0.5,0.9821513726305502
5901,TN,True,212.36649993807077,0.5370370370370371,0.766855506892941,0.09,0.8,0.5,0.8277960019566893
9298,TN,True,197.23129994235933,0.5,0.5604988106350218,0.09,0.6,0.3333333333333333,0.9901927961596543
7708,TN,True,194.23180003650486,0.5,0.7837221992696971,0.21000000000000002,0.8,0.3333333333333333,0.7270281088237668
846,TN,True,156.68430016376078,0.4722222222222222,0.5103926898975398,0.01,0.6,0.3333333333333333,0.997979374271175
5594,TN,True,166.30619997158647,0.5185185185185185,0.5185604534217064,0.15,0.4,0.16666666666666666,0.9892503278939102
1453,TN,True,174.10409986041486,0.48148148148148145,0.7902054699972728,0.049999999999999996,0.6,0.3333333333333333,0.9966196771453762
3797,TN,True,169.1021998412907,0.5277777777777778,0.7513950626641123,0.15,0.6,0.3333333333333333,0.9835768018961122
2240,TN,True,201.20820007286966,0.5370370370370371,0.5258247680395122,0.03,0.6,0.3333333333333333,0.9864514781626812
816,TN,True,166.6315000038594,0.5092592592592593,0.822884489470475,0.11,0.8,0.5,0.9209823331706399
4314,TN,True,151.15030016750097,0.5,0.4445198431966512,0.03,0.6,0.3333333333333333,0.9961330404549721
108,TN,True,129.15730010718107,0.48148148148148145,0.0,0.01,1.0,0.5,0.9989213031023152
8175,TN,True,144.39090015366673,0.4444444444444444,0.3535734660463739,0.06,1.0,0.5,0.99626573573476
4451,TN,True,169.38299988396466,0.48148148148148145,0.3216080940906779,0.03,0.8,0.3333333333333333,0.993188200278831
1795,TN,True,144.1573000047356,0.5370370370370371,0.6017006547702848,0.04,0.8,0.3333333333333333,0.9957793960440908
1306,TN,True,169.3751998245716,0.5185185185185185,0.7261666155390366,0.12000000000000001,0.8,0.3333333333333333,0.8882144265874193
3745,TN,True,220.16080003231764,0.5462962962962963,0.6974945773340218,0.10000000000000003,1.0,0.6666666666666666,0.9747073027584583
7200,TN,True,170.57529999874532,0.5370370370370371,0.7727345264429533,0.18,0.8,0.5,0.9037026123611305
7648,TN,True,187.25030007772148,0.4722222222222222,0.27315334297580346,0.03,0.6,0.16666666666666666,0.9922833963534136
4248,TN,True,144.70270019955933,0.4722222222222222,0.6166728510909338,0.02,0.8,0.3333333333333333,0.9996416200555408
7581,TN,True,189.78200014680624,0.5462962962962963,0.4666487472047917,0.039999999999999994,0.6,0.3333333333333333,0.9749717697970652
9263,TN,True,160.7053999323398,0.5185185185185185,0.8713572085808334,0.04000000000000001,0.8,0.5,0.9558496686134533
3267,TN,True,158.43380009755492,0.5370370370370371,0.5934555222042338,0.06999999999999999,0.8,0.3333333333333333,0.9864971357002127
2562,TN,True,164.59279996342957,0.5370370370370371,0.8358633425335175,0.09,1.0,0.5,0.9714949827195725
5340,TN,True,215.81110008992255,0.5370370370370371,0.6765803574714749,0.10999999999999999,1.0,0.5,0.9499525771105226
7368,TN,True,159.09230010583997,0.5185185185185185,0.7543901824222122,0.08,0.8,0.5,0.9800716591568052
5764,FP,False,222.22430002875626,0.5555555555555556,0.8153001618082951,0.52,0.8,0.5,0.949607910778571
3769,FP,False,229.30200002156198,0.49074074074074076,0.9471830005159311,0.61,0.8,0.5,0.9952668281054099
446,FP,False,153.2658999785781,0.5462962962962963,0.83890081623679,0.41000000000000003,1.0,0.6666666666666666,0.9710352149645216
8662,FP,False,201.63929997943342,0.5462962962962963,0.9529067731422975,0.73,0.8,0.5,0.9889715976103488
