feature,importance,rank,cumulative_importance
education_9th,0.00118127748114818,58,0.9828712211416207
race_Amer-Indian-Eskimo,0.001127228327403219,59,0.9839984494690239
native-country_Germany,0.0009946840648617592,60,0.9849931335338857
native-country_Philippines,0.0009523670240320335,61,0.9859455005579177
marital-status_Married-spouse-absent,0.0008710554394011198,62,0.9868165559973189
race_Other,0.0008427330510399643,63,0.9876592890483589
native-country_England,0.0008164286811640835,64,0.9884757177295229
education_12th,0.0007488484726650462,65,0.989224566202188
native-country_India,0.0006859014802782676,66,0.9899104676824663
native-country_Cuba,0.0006772593049013854,67,0.9905877269873676
native-country_Italy,0.0005859960289873202,68,0.991173723016355
education_5th-6th,0.0005587895989069458,69,0.991732512615262
native-country_South,0.000521941449376451,70,0.9922544540646384
native-country_China,0.0005217500770136923,71,0.9927762041416521
native-country_Ireland,0.00045639013115385247,72,0.993232594272806
native-country_Japan,0.0004486808113179666,73,0.993681275084124
native-country_Greece,0.0004379350456990215,74,0.994119210129823
native-country_Poland,0.0004272862752806794,75,0.9945464964051036
native-country_Puerto-Rico,0.0003672499574534191,76,0.994913746362557
native-country_Iran,0.0003601033189728191,77,0.9952738496815299
native-country_Jamaica,0.00035859542402721315,78,0.995632445105557
native-country_Vietnam,0.00028930047377671647,79,0.9959217455793338
native-country_Yugoslavia,0.0002602151672085866,80,0.9961819607465423
native-country_Taiwan,0.0002582725016316205,81,0.9964402332481739
marital-status_Married-AF-spouse,0.00025704049709463964,82,0.9966972737452685
education_1st-4th,0.00024766584222707974,83,0.9969449395874956
native-country_Portugal,0.00023807122393456145,84,0.9971830108114302
native-country_France,0.0002375510646652008,85,0.9974205618760954
native-country_Columbia,0.0002213325203545751,86,0.99764189439645
native-country_El-Salvador,0.00021713136165496386,87,0.9978590257581049
native-country_Peru,0.00021426812186492472,88,0.9980732938799699
native-country_Haiti,0.0001942017527752092,89,0.9982674956327451
native-country_Dominican-Republic,0.00017872423571380474,90,0.9984462198684589
native-country_Cambodia,0.00017696164282395422,91,0.9986231815112829
native-country_Ecuador,0.0001637597612107153,92,0.9987869412724937
workclass_Without-pay,0.00015865362819825635,93,0.9989455949006919
occupation_Priv-house-serv,0.00014424319693488998,94,0.9990898380976267
native-country_Hong,0.0001308766919513472,95,0.9992207147895781
native-country_Hungary,0.00012200976058993767,96,0.999342724550168
native-country_Trinadad&Tobago,0.0001161628899332565,97,0.9994588874401013
native-country_Guatemala,0.00010939037233848874,98,0.9995682778124397
native-country_Nicaragua,9.258419980329329e-05,99,0.999660862012243
native-country_Thailand,6.699504216706787e-05,100,0.9997278570544101
occupation_Armed-Forces,5.83872837243553e-05,101,0.9997862443381345
native-country_Laos,5.802560486088625e-05,102,0.9998442699429954
native-country_Scotland,5.5970920585815004e-05,103,0.9999002408635812
education_Preschool,4.52825269625396e-05,104,0.9999455233905438
native-country_Outlying-US(Guam-USVI-etc),4.44261116701259e-05,105,0.9999899495022139
native-country_Honduras,5.868016682055019e-06,106,0.9999958175188959
workclass_Never-worked,4.182481104105355e-06,107,1.0
native-country_Holand-Netherlands,0.0,108,1.0
