instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
3933,TP,True,582450.0755030895,0.09259259259259259,0.8838934782467905,0.5791614844738083,0.972735320357793,,
4077,TP,True,464637.86193501437,0.09259259259259259,0.967656988452734,0.3233100339460572,0.9090097518755126,,
4110,TP,True,554730.9242209885,0.09259259259259259,0.9584715785103596,0.7633822566672366,0.9709537537213632,,
4126,,,,,,,,-1,1
4142,,,,,,,,-1,1
4181,,,,,,,,-1,1
4208,TP,True,346687.2541299963,0.09259259259259259,0.962860534039574,0.7469433998865556,0.9686416693518934,,
4238,,,,,,,,-1,1
4271,TN,True,411452.9991319869,0.09259259259259259,0.8708938170624556,0.02107362212024977,0.94163117238044,,
4325,,,,,,,,-1,1
4329,,,,,,,,-1,1
4338,TN,True,336518.3975100517,0.09259259259259259,0.8387795043166636,0.057185360259290885,0.8904902745817985,,
4353,,,,,,,,-1,1
4363,,,,,,,,-1,1
4377,,,,,,,,-1,1
4405,TP,True,548787.632616004,0.09259259259259259,0.9727982578591418,0.7156841973949961,0.9847546342240082,,
4425,,,,,,,,-1,1
4495,,,,,,,,-1,1
4518,,,,,,,,-1,1
4522,,,,,,,,-1,1
4546,,,,,,,,-1,1
4586,,,,,,,,-1,1
4617,,,,,,,,-1,1
4634,,,,,,,,-1,1
4697,,,,,,,,-1,1
4703,TP,True,304753.2992939814,0.09259259259259259,0.9707539703154853,0.5779508110861094,0.9505993292370832,,
4725,,,,,,,,-1,1
4730,,,,,,,,-1,1
4736,,,,,,,,-1,1
4737,TP,True,284329.78385296883,0.09259259259259259,0.9704842400547801,0.7054752900241295,0.9971132636321535,,
4758,,,,,,,,-1,1
4759,,,,,,,,-1,1
4762,TP,True,388248.35632700706,0.09259259259259259,0.9349289479017477,0.7150652254272056,0.9960235176737143,,
4775,,,,,,,,-1,1
4777,,,,,,,,-1,1
4816,,,,,,,,-1,1
4820,TP,True,252720.30999697745,0.09259259259259259,0.9504025601259307,0.6274513831518302,0.9475093212531425,,
4828,,,,,,,,-1,1
4834,,,,,,,,-1,1
4860,TP,True,383194.20606899075,0.09259259259259259,0.9522999651795477,0.6239230680291764,0.9020620913062677,,
4900,,,,,,,,-1,1
4914,,,,,,,,-1,1
4920,,,,,,,,-1,1
4930,,,,,,,,-1,1
4976,,,,,,,,-1,1
5001,,,,,,,,-1,1
5020,,,,,,,,-1,1
5079,,,,,,,,-1,1
5110,,,,,,,,-1,1
5119,TP,True,408616.777906951,0.09259259259259259,0.9488227068387565,0.6263738974723787,0.9415612886125422,,
5137,,,,,,,,-1,1
