Model,Explainer,Name,Fidelity,Stability,Sparsity,Cost_Raw,Causal,Efficiency
random_forest,shap,exp1_adult_rf_shap,0.7398156658051469,0.9457315590812714,0.5201851851851852,189.93412499781698,0.0,0.9987713777321826
random_forest,shap,exp1_adult_rf_shap,0.7589968145406075,0.9469588945687322,0.4963888888888889,216.99817199492827,0.0,0.998596291949665
random_forest,shap,exp1_adult_rf_shap,0.7244011931163159,0.9567787288581378,0.49648148148148147,178.96119301905856,0.0,0.998842365060213
random_forest,shap,exp1_adult_rf_shap,0.7341715053802298,0.9253707964791781,0.5457407407407407,223.63536301534623,0.0,0.9985533538856107
random_forest,shap,exp1_adult_rf_shap,0.7246681028194896,0.9529535039963981,0.5456481481481482,209.79006100213155,0.0,0.9986429234735381
random_forest,shap,exp1_adult_rf_shap,0.7436414340859,0.9369938895041191,0.4948148148148148,222.109454004094,0.0,0.9985632254681318
random_forest,shap,exp1_adult_rf_shap,0.7173166590850976,0.935552544196511,0.5166666666666667,221.60092399921268,0.0,0.9985665153077425
random_forest,shap,exp1_adult_rf_shap,0.7322873345633405,0.9451133784187907,0.5527777777777778,349.765439981129,0.0,0.9977373789788676
random_forest,shap,exp1_adult_rf_shap,0.7593204281001823,0.9360079292142218,0.5309259259259259,194.37537000514567,0.0,0.9987426459295241
svm_test,anchors,test_svm_anchors,0.0,0.0,0.0,1.0,0.0,0.9999936516634632
rf,shap,exp1_rf_shap,0.5788,0.9464,0.4573,0.1907,0.652,0.9999988872782184
rf,lime,exp1_rf_lime,0.1075,0.0861,0.0926,42.8608,0.619,0.9997228410590626
xgboost,shap,exp1_xgb_shap,0.3463,0.4516,0.2286,0.0187,0.821,1.0
xgboost,lime,exp1_xgb_lime,0.5083,0.121,0.0926,19.1896,0.476,0.9998759774534671
xgboost,lime,exp1_lime_kauto_n5000_fsnone,0.6356621971840999,0.9696074331404754,0.0,15.21936034259852,0.0,0.9999016621752411
xgboost,lime,exp1_lime_kauto_n1000_fsauto,0.6496473027965889,0.9673000411371993,0.0,4.521364570246078,0.0,0.9999708708549842
xgboost,lime,exp1_lime_k0.75_n5000_fsnone,0.0,7.406758537882871e-60,0.0,16.356295841978863,0.0,0.9998943069839942
xgboost,lime,exp1_lime_k2.0_n1000_fsnone,0.24517328193910704,0.2696845476847232,0.0,4.277338646352291,0.0,0.9999724495349888
xgboost,lime,exp1_lime_k1.0_n1000_fsnone,0.0,1.795445295530777e-22,0.0,4.550554140587337,0.0,0.9999706820185265
xgboost,lime,exp1_lime_kauto_n1000_fsnone,0.6116791441493519,0.8684279588819408,0.0,4.267914651427418,0.0,0.9999725105017586
xgboost,lime,exp1_lime_k2.0_n5000_fsnone,0.286880488913722,0.3033347374934293,0.0,15.966903121443465,0.0,0.9998968260872602
xgboost,lime,exp1_lime_k0.5_n5000_fsauto,0.0,6.128122215321401e-131,0.0,15.488703080336563,0.0,0.9998999197128515
xgboost,lime,exp1_lime_k2.0_n1000_fsauto,0.25142331848626986,0.30860339245795854,0.0,4.4544365227920935,0.0,0.9999713038334505
xgboost,lime,exp1_lime_k0.75_n1000_fsnone,0.0,7.279940557788816e-62,0.0,4.274608314153738,0.0,0.9999724671983615
xgboost,lime,exp1_lime_k0.5_n5000_fsnone,0.0,2.1336678155719414e-129,0.0,15.872839544317685,0.0,0.9998974346139528
xgboost,lime,exp1_lime_k0.75_n1000_fsauto,0.0,3.966406046247628e-62,0.0,4.452915603178553,0.0,0.9999713136727549
xgboost,lime,exp1_lime_k0.75_n5000_fsauto,0.0,-1.933238506500766e-60,0.0,18.01867394533474,0.0,0.9998835525402445
xgboost,lime,exp1_lime_k0.25_n1000_fsnone,0.0,0.0,0.0,4.285044767311774,0.0,0.9999723996816827
xgboost,lime,exp1_lime_k0.5_n1000_fsnone,0.0,9.542337350032178e-135,0.0,4.292181352502666,0.0,0.9999723535128816
xgboost,lime,exp1_lime_k1.0_n5000_fsauto,0.0,-3.91400058568292e-21,0.0,15.376199001912028,0.0,0.9999006475369131
xgboost,lime,exp1_lime_k0.25_n1000_fsauto,0.0,0.0,0.0,4.408164689084515,0.0,0.9999716031804111
xgboost,lime,exp1_lime_kauto_n5000_fsauto,0.6511570694880069,0.9910253350901688,0.0,15.359680246911012,0.0,0.9999007544019043
xgboost,lime,exp1_lime_k0.5_n1000_fsauto,0.0,8.509264333059089e-135,0.0,4.508365655783564,0.0,0.9999709549490263
xgboost,lime,exp1_lime_k0.25_n5000_fsauto,0.0,0.0,0.0,15.1775615173392,0.0,0.9999019325849116
xgboost,lime,exp1_lime_k2.0_n5000_fsauto,0.2840833193003306,0.32073598267691883,0.0,16.949992618174292,0.0,0.9998904661739094
xgboost,lime,exp1_lime_k1.0_n5000_fsnone,0.0,-1.141401617523676e-20,0.0,15.847232326632366,0.0,0.9998976002750509
xgboost,lime,exp1_lime_k1.0_n1000_fsauto,0.0,1.9255920251221298e-22,0.0,4.54533233132679,0.0,0.9999707158000434
xgboost,lime,exp1_lime_k0.25_n5000_fsnone,0.0,0.0,0.0,15.753907297039405,0.0,0.9998982040238485
