instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_domain_precision,metric_domain_recall,metric_stability
8206,TN,True,134.39629995264113,0.46296296296296297,0.5523485672581986,0.07,0.8,0.3333333333333333,0.9958526184495824
7559,TN,True,116.63950001820922,0.4537037037037037,0.0,0.0,1.0,0.5,0.9993213898176118
6456,TN,True,206.26939996145666,0.48148148148148145,0.5227683562485617,0.1,0.8,0.3333333333333333,0.9648518880535852
9268,TN,True,136.61569985561073,0.46296296296296297,0.6570369592001726,0.08,0.8,0.3333333333333333,0.99619116784017
3784,TN,True,183.05300013162196,0.5092592592592593,0.9212106991473021,0.2,1.0,0.5,0.9226461039192562
615,TN,True,132.86309991963208,0.49074074074074076,0.5304010920049739,0.08,0.8,0.3333333333333333,0.9986860211257015
4443,TN,True,126.89319998025894,0.4537037037037037,0.5751117081006125,0.01,0.6,0.16666666666666666,0.9874438455370187
8445,TN,True,152.3855000268668,0.5,0.8024885213737729,0.18000000000000002,1.0,0.5,0.9981468722653289
17,TN,True,167.91899991221726,0.4444444444444444,0.7507598031045644,0.12,0.6,0.16666666666666666,0.9861519582903879
5595,FP,False,187.68269987776875,0.5277777777777778,0.8951711709004005,0.7,0.8,0.5,0.9788653968198892
374,FP,False,196.13649998791516,0.5370370370370371,0.9026007088004598,0.8099999999999999,0.8,0.5,0.9938379250328397
9486,FP,False,184.36259985901415,0.5185185185185185,0.8827029116066701,0.64,0.6,0.3333333333333333,0.8383457691887277
7332,FP,False,218.830700032413,0.5277777777777778,0.4528559571646136,0.42000000000000004,0.8,0.5,0.9540952244288936
685,FP,False,242.20940005034208,0.49074074074074076,0.8285974065980891,0.29000000000000004,0.8,0.5,0.9701556469120599
2504,FP,False,182.53699992783368,0.5277777777777778,0.9639022202841406,0.56,0.8,0.3333333333333333,0.9200980672772138
5278,FP,False,207.33999996446073,0.4722222222222222,0.9966469434481237,0.81,0.8,0.3333333333333333,0.999627378629904
8186,FP,False,167.83150006085634,0.4722222222222222,0.908418333806094,0.39,0.8,0.5,0.9917653866525653
5618,FP,False,182.66550009138882,0.5185185185185185,0.9209936442106729,0.74,0.8,0.5,0.9912788655201701
851,FP,False,203.6799001507461,0.5370370370370371,0.693796096689501,0.5,0.8,0.5,0.9668260696436684
837,FP,False,147.58510002866387,0.5185185185185185,0.8858191206277664,0.51,0.8,0.3333333333333333,0.9453996148869769
886,FP,False,214.51239986345172,0.5092592592592593,0.9358482420027169,0.91,0.8,0.5,0.9780871976739587
2455,FP,False,188.0002999678254,0.5,0.5532704142720893,0.3500000000000001,0.6,0.3333333333333333,0.9848539471372167
7127,FP,False,180.56389992125332,0.49074074074074076,0.9000061443740335,0.43000000000000005,0.8,0.3333333333333333,0.9520862488447225
7905,FP,False,191.1979999858886,0.5,0.8040369838373677,0.44000000000000006,0.8,0.3333333333333333,0.8862452272585912
3872,FP,False,169.51839998364449,0.5370370370370371,0.9274281759307351,0.77,0.8,0.5,0.8572722009259636
9521,FP,False,188.55699989944696,0.5277777777777778,0.9157917969954575,0.73,0.8,0.5,0.9906096314425615
9674,FP,False,203.96620011888444,0.5185185185185185,0.8020181364154835,0.45999999999999996,0.6,0.3333333333333333,0.8702795347189097
5596,FP,False,150.22729989141226,0.5277777777777778,0.8750198342860537,0.5299999999999999,0.8,0.5,0.9647088141481861
7544,FP,False,204.97299986891448,0.5092592592592593,0.8640192350393588,0.3400000000000001,1.0,0.6666666666666666,0.9517935189852095
4088,FP,False,185.73719984851778,0.5185185185185185,0.9053706948152361,0.64,0.8,0.5,0.9889049811358788
1671,FP,False,139.95490013621747,0.5,0.8876415295228998,0.5,0.6,0.3333333333333333,0.9647382228071499
6148,FP,False,205.1142998971045,0.5,0.8914289667810963,0.44,0.8,0.5,0.9583918248985521
2822,FP,False,190.21459994837642,0.5370370370370371,0.923913199291326,0.67,0.8,0.5,0.972544811235442
4078,FP,False,187.9410999827087,0.5092592592592593,0.9555830117634855,0.44000000000000006,0.8,0.5,0.6769837515008654
6198,FN,False,157.07070007920265,0.5185185185185185,0.757312899384029,0.05,0.8,0.3333333333333333,0.9550578457103693
2839,FN,False,152.48909988440573,0.5092592592592593,0.567595519071125,0.020000000000000004,0.6,0.16666666666666666,0.9916697374747981
1009,FN,False,152.26230002008379,0.48148148148148145,0.8355175672953411,0.33999999999999997,0.8,0.5,0.9935152822003077
4502,FN,False,182.2333000600338,0.5370370370370371,0.6067971902894433,0.22,0.8,0.3333333333333333,0.9161272069383456
6087,FN,False,177.40699998103082,0.5092592592592593,0.7729498044247097,0.06,1.0,0.5,0.8836558879555143
6639,FN,False,232.14900004677474,0.5092592592592593,0.6011700660525274,0.06999999999999999,0.8,0.3333333333333333,0.9500963837525226
5799,FN,False,196.94980001077056,0.49074074074074076,0.8206151390303866,0.44,0.8,0.5,0.9827147903938745
5301,FN,False,199.4408001191914,0.4444444444444444,0.9348106329607131,0.44999999999999996,0.8,0.3333333333333333,0.985573198484286
86,FN,False,175.71779992431402,0.5,0.5051230255434522,0.03,1.0,0.5,0.9190707684729758
8609,FN,False,180.10269990190864,0.5185185185185185,0.6727256651740391,0.22,0.8,0.3333333333333333,0.7627502487624732
2834,FN,False,160.94399988651276,0.5092592592592593,0.8213284856689592,0.29000000000000004,0.8,0.3333333333333333,0.932825566286643
3182,FN,False,189.23179991543293,0.5092592592592593,0.4661341743309096,0.01999999999999999,0.8,0.3333333333333333,0.9621504997280327
8229,FN,False,170.98219995386899,0.5277777777777778,0.8157215098469238,0.27999999999999997,0.8,0.3333333333333333,0.8425600312569645
9369,FN,False,162.31510019861162,0.5185185185185185,0.8860892693981838,0.41000000000000003,0.8,0.5,0.9146614280996676
8408,FN,False,251.61879998631775,0.4537037037037037,0.7424339907910487,0.10999999999999999,0.8,0.3333333333333333,0.9788913521007315
7798,FN,False,176.93580011837184,0.5370370370370371,0.8578357054287316,0.26,0.8,0.3333333333333333,0.8922305551688442
3820,FN,False,153.39879994280636,0.5092592592592593,0.7071031682158795,0.27999999999999997,0.8,0.3333333333333333,0.968848216812788
7959,FN,False,230.99750000983477,0.5,0.6337522004525951,0.35,0.6,0.3333333333333333,0.9490671726920215
2773,FN,False,186.66929984465241,0.5,0.5721913157991753,0.15000000000000002,0.8,0.3333333333333333,0.9926889848459581
6544,FN,False,205.13080013915896,0.49074074074074076,0.5452960411803623,0.1,0.6,0.3333333333333333,0.9605655983478724
8533,FN,False,205.83559991791844,0.4537037037037037,0.7343906495720433,0.29000000000000004,0.8,0.5,0.8157780266299797
5946,FN,False,173.32930001430213,0.49074074074074076,0.8218184666096471,0.19,0.8,0.5,0.9734618123084716
3345,FN,False,191.53900002129376,0.5092592592592593,0.7910094690865193,0.16,1.0,0.6666666666666666,0.8211061050659749
3086,FN,False,141.9601000379771,0.5092592592592593,0.7943522187483307,0.010000000000000009,0.8,0.3333333333333333,0.9595198264902589
783,FN,False,183.24599997140467,0.48148148148148145,0.8208234869963386,0.28,0.8,0.5,0.9180301250588321
