model,method,seed,n,instance_id,masking_scheme,topk_gap,top_feature_corr,n_features_masked_topk
rf,shap,123,50,57,marginal,0.20663653246559685,0.1986196198133021,5.0
rf,shap,123,50,57,grouped_mean,0.04459468643737907,-0.3917077719543181,43.0
rf,shap,123,50,69,zero,0.5459059136311839,0.41712111165543486,5.0
rf,shap,123,50,69,mean,0.5459059136311837,0.41712111165543486,5.0
rf,shap,123,50,69,marginal,0.4225330482090042,0.592059006281034,5.0
rf,shap,123,50,69,grouped_mean,0.5459059136311838,-0.14887074120555888,17.0
rf,shap,123,50,212,zero,0.3601764335230071,0.7214460865379556,5.0
rf,shap,123,50,212,mean,0.3601764335230071,0.6102361306119484,5.0
rf,shap,123,50,212,marginal,0.3612737585256231,0.5910586148281142,5.0
rf,shap,123,50,212,grouped_mean,0.33667735538314725,0.49989375621591925,57.0
rf,shap,123,50,233,zero,0.29468756286415587,0.5996588762203184,5.0
rf,shap,123,50,233,mean,0.2946875628641559,0.5996588762203193,5.0
rf,shap,123,50,233,marginal,0.30319068897354684,0.7218840281331692,5.0
rf,shap,123,50,233,grouped_mean,0.508552160111304,0.2073031097866381,19.0
rf,shap,123,50,279,zero,0.025373459442208923,-0.04751108878877673,5.0
rf,shap,123,50,279,mean,0.025373459442208923,-0.0073854270477181905,5.0
rf,shap,123,50,279,marginal,0.3337378663463307,0.6889779544789506,5.0
rf,shap,123,50,279,grouped_mean,0.1332065841188327,0.49429432889519315,33.0
rf,shap,123,50,345,zero,0.549817006825376,0.7111319889590083,5.0
rf,shap,123,50,345,mean,0.5429634325468163,0.6877560234367961,5.0
rf,shap,123,50,345,marginal,0.38893264579951126,0.5404488831045138,5.0
rf,shap,123,50,345,grouped_mean,0.5298288062786431,0.26754842366324666,33.0
rf,shap,123,50,356,zero,0.006025570296019647,-0.36834233963886226,5.0
rf,shap,123,50,356,mean,0.006025570296019661,-0.3857404684401829,5.0
rf,shap,123,50,356,marginal,0.1156770796326606,0.7595062958404996,5.0
rf,shap,123,50,356,grouped_mean,0.06212446931316794,0.23379947246604926,40.0
rf,shap,123,50,396,zero,0.2522320139145605,0.5108027061064414,5.0
rf,shap,123,50,396,mean,0.25223201391456057,0.15489710338138368,5.0
rf,shap,123,50,396,marginal,0.1259860110065634,0.19625964710501229,5.0
rf,shap,123,50,396,grouped_mean,0.0968064305892602,0.2809985621443867,33.0
rf,shap,123,50,479,zero,0.1276177175233693,0.6598802705781494,5.0
rf,shap,123,50,479,mean,0.1276177175233693,0.5354948704773363,5.0
rf,shap,123,50,479,marginal,0.2024602243811787,0.006638008226638473,5.0
rf,shap,123,50,479,grouped_mean,0.16448982152694652,0.3292376006106098,33.0
rf,shap,123,50,504,zero,0.6785959878997924,0.6746408563431717,5.0
rf,shap,123,50,504,mean,0.6785959878997927,0.6052174658053118,5.0
rf,shap,123,50,504,marginal,0.751274286377719,0.5025296028170791,5.0
rf,shap,123,50,504,grouped_mean,0.5756038162209365,-0.0032212315015870963,33.0
rf,shap,123,50,506,zero,0.5182896952472921,0.8317349354413858,5.0
rf,shap,123,50,506,mean,0.5182896952472921,0.7992897778751259,5.0
rf,shap,123,50,506,marginal,0.40517291994006527,0.19146808320342562,5.0
rf,shap,123,50,506,grouped_mean,0.5212508334011952,0.458082868713935,41.0
rf,shap,123,50,531,zero,0.47361730557546045,0.22122154140183986,5.0
rf,shap,123,50,531,mean,0.47361730557546033,0.22122154140183947,5.0
rf,shap,123,50,531,marginal,0.5427698773839077,0.2692579875243309,5.0
rf,shap,123,50,531,grouped_mean,0.47361730557546033,-0.051348437451117765,41.0
rf,shap,123,50,540,zero,0.4001576683777363,0.4495124519574458,5.0
rf,shap,123,50,540,mean,0.40015766837773625,0.4495124519574458,5.0
rf,shap,123,50,540,marginal,0.24084245628837786,0.40304689629118956,5.0
rf,shap,123,50,540,grouped_mean,0.6054836059609662,-0.031968994911810725,57.0
rf,shap,123,50,595,zero,0.2940242246000002,0.3734184898037611,5.0
rf,shap,123,50,595,mean,0.2940242246000003,0.37341848980376097,5.0
rf,shap,123,50,595,marginal,0.25755392491731866,0.5264661623277477,5.0
rf,shap,123,50,595,grouped_mean,0.49856635001983807,0.0017399979572828433,58.0
rf,shap,123,50,597,zero,0.6420089288054354,0.31125767336708365,5.0
rf,shap,123,50,597,mean,0.6420089288054355,0.3112576733670819,5.0
rf,shap,123,50,597,marginal,0.49919847694987823,0.1748515459394953,5.0
rf,shap,123,50,597,grouped_mean,0.6566343803097596,-0.17603255873642887,57.0
rf,shap,123,50,637,zero,0.5186825850141852,0.7102672783322991,5.0
rf,shap,123,50,637,mean,0.5186825850141852,0.6647069083073275,5.0
rf,shap,123,50,637,marginal,0.41122873253998904,0.7173625188258407,5.0
rf,shap,123,50,637,grouped_mean,0.4869164425546687,0.1273376972954528,41.0
rf,shap,123,50,670,zero,0.1550060016263075,0.4065203628747874,5.0
