experiment,dataset,model,explainer,seed,n,source,path,fidelity,stability,sparsity,faithfulness_gap,cost,duration_s
exp2,adult,logreg,shap,999,50,raw,experiments/exp2_scaled/results/logreg_shap/seed_999/n_50/results.json,0.949877514110656,0.8950314402727573,0.09259259259259257,0.34430626583372015,29.180871679945994,113.576222
exp2,adult,logreg,shap,999,100,raw,experiments/exp2_scaled/results/logreg_shap/seed_999/n_100/results.json,0.9494368247085574,0.8973908009925019,0.09259259259259257,0.35264723156720834,29.43382665871468,230.899884
exp2,adult,logreg,shap,999,200,raw,experiments/exp2_scaled/results/logreg_shap/seed_999/n_200/results.json,0.9494336545385967,0.8953880150933929,0.09259259259259257,0.34462171459982477,31.136868886642333,489.545791
exp2,adult,mlp,anchors,42,200,raw,experiments/exp2_scaled/results/mlp_anchors/seed_42/n_200/results.json,0.3080562518181398,0.00031123150792764626,0.13966435185185186,0.2560832007921251,12019.181894901176,12293.099047
exp2,adult,mlp,anchors,123,50,raw,experiments/exp2_scaled/results/mlp_anchors/seed_123/n_50/results.json,0.28363518265188853,0.00023628585866051078,0.1511574074074074,0.236364554450196,9457.656995005236,2177.203846
exp2,adult,mlp,anchors,123,100,raw,experiments/exp2_scaled/results/mlp_anchors/seed_123/n_100/results.json,0.29004406691186013,0.0003646699454842976,0.15069444444444444,0.23140433153458984,9746.34399770861,4536.033484
exp2,adult,mlp,anchors,456,200,raw,experiments/exp2_scaled/results/mlp_anchors/seed_456/n_200/results.json,0.3092318298603678,0.00041079819967240446,0.14975694444444446,0.2641932203207374,10507.327830650464,10261.864715
exp2,adult,mlp,anchors,789,100,raw,experiments/exp2_scaled/results/mlp_anchors/seed_789/n_100/results.json,0.30246651881495457,0.00020284945771549938,0.14456018518518518,0.234382811580019,10530.662785959868,13625.343852
exp2,adult,mlp,anchors,999,50,raw,experiments/exp2_scaled/results/mlp_anchors/seed_999/n_50/results.json,0.2995077072775827,3.571428571428571e-05,0.1490277777777778,0.24370322959837773,10289.843406904838,2571.52343
exp2,adult,mlp,anchors,999,100,raw,experiments/exp2_scaled/results/mlp_anchors/seed_999/n_100/results.json,0.2993947150291353,3.418115050973352e-05,0.14344907407407406,0.23913235199997687,9910.068440315517,4642.733489
exp2,adult,mlp,dice,42,50,raw,experiments/exp2_scaled/results/mlp_dice/seed_42/n_50/results.json,0.02221090718030871,0.1309696915870825,0.015555555555555553,0.06515882517669522,981.5180518448324,1337.583863
