experiment_name,dataset,duration,model,explainer,cost_mean,cost_std,sparsity_mean,sparsity_std,fidelity_mean,fidelity_std,faithfulness_gap_mean,faithfulness_gap_std,stability_mean,stability_std
rec_p1_exp2_mlp_shap_s123_n50,adult,1759.355313,adult_mlp,shap,403.09903931221925,118.34246385279914,0.09259259259259257,1.3877787807814457e-17,0.7173165617024394,0.15347318813039634,0.3689921801934198,0.27694050600244297,0.31155933556715293,0.23271554907290604
rec_p1_exp2_svm_shap_s789_n50,adult,236549.825238,adult_svm,shap,68086.0899267334,16337.051508657021,0.09259259259259257,1.3877787807814457e-17,0.893927007742423,0.1409306739323663,0.3460612171801359,0.28923485670261456,0.9210673955126292,0.07180404379784913
rec_p1_exp2_mlp_shap_s789_n200,adult,8241.875674,adult_mlp,shap,465.92816140531795,109.49624195735896,0.09259259259259257,1.3877787807814457e-17,0.7263784423050137,0.13891049283274393,0.3747260186320709,0.27527994258078314,0.332403003231685,0.23697149847169058
rec_p1_exp2_mlp_shap_s789_n50,adult,2086.024687,adult_mlp,shap,466.23672329005785,113.31048922340833,0.09259259259259257,1.3877787807814457e-17,0.7238783069391198,0.13819596519691613,0.36344497194886977,0.2740965276817101,0.34201462627484175,0.24538923295691598
rec_p1_exp2_mlp_shap_s42_n200,adult,7743.839193,adult_mlp,shap,455.58718026819406,172.07796455895908,0.09259259259259257,1.3877787807814457e-17,0.7306666433281586,0.1395301588074738,0.3884918011726677,0.28346303321496935,0.340423146997562,0.2403285421462774
rec_p1_exp2_mlp_shap_s123_n100,adult,4509.701731,adult_mlp,shap,523.6270365054952,167.72494250539856,0.09259259259259257,1.3877787807814457e-17,0.7186076615940948,0.14425419562087674,0.37081430797528475,0.2865651900483573,0.32279760868455926,0.23578587060459386
rec_p1_exp2_svm_shap_s42_n50,adult,182994.602403,adult_svm,shap,54400.35113654114,12924.34507378242,0.09259259259259257,1.3877787807814457e-17,0.875307295038725,0.1747342147445881,0.3471448750104374,0.294297046438681,0.9287631438090032,0.06882929819514416
rec_p1_exp2_svm_shap_s999_n50,adult,185768.053044,adult_svm,shap,54917.152182865066,14003.363744196216,0.09259259259259257,1.3877787807814457e-17,0.8831068004011007,0.1525950724884723,0.3363209471450784,0.2850858803967985,0.9313523566266181,0.061912142207645085
rec_p1_exp2_svm_shap_s456_n200,adult,348450.020066,adult_svm,shap,48250.957458719815,11513.229318342572,0.09259259259259257,1.3877787807814457e-17,0.8827328260755106,0.16317821490111534,0.3463805304932999,0.29700093754191165,0.9264143760223459,0.0718670163756187
rec_p1_exp2_mlp_shap_s456_n50,adult,1336.862994,adult_mlp,shap,300.2849334347411,62.203117233874984,0.09259259259259257,1.3877787807814457e-17,0.7149138679947132,0.1580809989062125,0.39219997586129424,0.3043555595973017,0.34244641390011565,0.24637630390013657
rec_p1_exp2_svm_shap_s456_n100,adult,351661.256614,adult_svm,shap,52459.725909688066,12968.569170755029,0.09259259259259257,1.3877787807814457e-17,0.8792756630262001,0.17063010483741614,0.3471257544471253,0.2955849111665277,0.9286371908736487,0.06794548413542098
rec_p1_exp2_mlp_shap_s999_n100,adult,2556.080828,adult_mlp,shap,294.56768477728474,72.56329666278347,0.09259259259259257,1.3877787807814457e-17,0.7333145556857061,0.13077256027837098,0.3719627187703977,0.270169651588925,0.3228252596550925,0.2356941555941529
rec_p1_exp2_svm_shap_s456_n50,adult,172852.71114,adult_svm,shap,49951.138989468745,12117.555434173832,0.09259259259259257,1.3877787807814457e-17,0.8765290764667151,0.1754305773429129,0.35133306060135183,0.2998127244948112,0.926257977881248,0.06803832581500975
rec_p1_exp2_svm_shap_s42_n200,adult,347317.053539,adult_svm,shap,25040.436156026008,14846.103756148736,0.09259259259259257,1.3877787807814457e-17,0.8812437712669834,0.1585905356202028,0.3463866478329375,0.2953152933023101,0.9231132020973786,0.07551105344741099
