experiment_name,dataset,duration,model,explainer,cost_mean,cost_std,sparsity_mean,sparsity_std,fidelity_mean,fidelity_std,faithfulness_gap_mean,faithfulness_gap_std,stability_mean,stability_std,cf_sensitivity_mean,cf_sensitivity_std
exp2_mlp_shap_s999_n200,adult,4398.45764,adult_mlp,shap,300.24075202003587,92.22654667848265,0.09259259259259257,1.3877787807814457e-17,0.6926399744846319,0.14873859634941927,0.42182254547501885,0.3105454279229612,0.3104067732376435,0.22445236128815177,,
exp2_xgb_dice_s42_n50,adult,2081.764416,adult_xgb,dice,861.12402917,2677.5576759889796,0.016712962962962964,0.007213759286618004,0.3465680284978627,0.29360496749833476,0.1917313935304992,0.23702230038651387,0.5944630920089196,0.2645978134443122,0.0,0.0
exp2_svm_shap_s123_n50,adult,309375.893676,adult_svm,shap,89144.40644621401,10940.332157474768,0.09259259259259257,1.3877787807814457e-17,0.8360425545235093,0.19405925879979297,0.36160959670355647,0.27445847156631964,0.9228628704785191,0.0712777765474999,,
exp2_mlp_dice_s999_n50,adult,1604.711593,adult_mlp,dice,540.8429600232921,583.7671806366893,0.015972222222222224,0.006800199454429806,0.021632718044316022,0.15332111155200184,0.07876838900971196,0.12116792398472817,0.13281319461208088,0.22236787435517766,0.0,0.0
exp2_mlp_dice_s999_n200,adult,7026.620893,adult_mlp,dice,552.8999168278096,306.80937141476016,0.01528935185185185,0.0054158628518809525,0.029726563551504052,0.155284345207262,0.07876271509978074,0.13188280135459107,0.12116627529056753,0.19881106931694487,0.0,0.0
exp2_rf_dice_s42_n100,adult,7993.921682,adult_rf,dice,651.5149044775899,384.3721044240251,0.01833333333333333,0.015227470483925434,0.14501397828751336,0.2586814281700772,0.10548083333333333,0.16897222542764898,0.4139915988199151,0.36549668198161717,0.0,0.0
exp2_mlp_anchors_s123_n100,adult,4536.033484,adult_mlp,anchors,9746.34399770861,20828.73947128506,0.15069444444444444,0.23802769241406993,0.29004406691186013,0.22913636860483427,0.23140433153458984,0.24046070105736947,0.0003646699454842976,0.0023690751122644373,,
exp2_logreg_dice_s123_n50,adult,0.253104,adult_logreg,dice,,,,,,,,,,,,
exp2_xgb_anchors_s999_n50,adult,31514.877326,adult_xgb,anchors,4864.026790089974,8595.17156717073,0.060648148148148145,0.08925344802044959,0.3153691886516323,0.2249538328126191,0.20705197827657684,0.2430171771914592,0.3233276300477179,0.11538070491556261,,
exp2_mlp_shap_s123_n200,adult,1200.7672,adult_mlp,shap,85.45148293749662,16.197874279141963,0.09259259259259257,1.3877787807814457e-17,0.7093390116711069,0.1571644804080758,0.4524309710262086,0.30521021792739367,0.3070636526649427,0.22427966650493933,,
exp2_mlp_shap_s456_n200,adult,1024.461587,adult_mlp,shap,70.76872597988768,19.10848515281712,0.09259259259259257,1.3877787807814457e-17,0.7259682505175583,0.1583349417725346,0.4610792330302661,0.3077592397034509,0.3143473208059717,0.23865061615494712,,
exp2_svm_anchors_s123_n50,adult,7913.608672,adult_svm,anchors,28256.80239311958,44272.55759421418,0.045046296296296286,0.06266047642024931,0.5026929981850368,0.22900570143531682,0.29687313996751613,0.25800183414893235,0.0006566035778378482,0.0036813371032545774,,
exp2_logreg_dice_s456_n200,adult,7277.030944,adult_logreg,dice,568.6097930071264,373.55966031192963,0.01710648148148148,0.010814893098080447,0.15587785428062875,0.2194754028830427,0.05794380377784876,0.0965062180146639,0.3392446629172823,0.35546713202871855,0.0,0.0
exp2_svm_dice_s42_n200,adult,28531.007899,adult_svm,dice,2233.917822399708,940.6010591083584,0.015451388888888888,0.0046896428572547845,0.22001895523368836,0.2544801186495535,0.06335487103049407,0.10291473673899823,0.3939336164206405,0.32291198360733697,0.0,0.0
exp2_logreg_anchors_s999_n100,adult,1092.900083,adult_logreg,anchors,1312.6974795849494,2961.6953049268077,0.037662037037037036,0.05316858536438792,0.48671610476584193,0.19237166307538467,0.23086033483111984,0.20462224229629297,0.0001018055231950731,0.0007660048142354332,,
exp2_mlp_shap_s42_n100,adult,490.743954,adult_mlp,shap,63.11230042228999,14.029671598035083,0.09259259259259257,1.3877787807814457e-17,0.7270773607766549,0.15209734687325788,0.4564783346761084,0.31772549875078,0.3288947804349809,0.24428880527192473,,
exp2_logreg_anchors_s123_n50,adult,0.251564,adult_logreg,anchors,,,,,,,,,,,,
exp2_xgb_anchors_s789_n200,adult,3823.83176,adult_xgb,anchors,3694.6127100175204,21600.7510391064,0.05622685185185184,0.08409744522913414,0.31055823386174675,0.22130065152266534,0.22433892116729112,0.2521254445651617,9.472746168079222e-05,0.0007484270993918041,,
exp2_xgb_dice_s123_n100,adult,4416.142251,adult_xgb,dice,778.5445294692909,2001.697239805412,0.016273148148148148,0.007253574812818693,0.3250575238152601,0.27500069911907127,0.1849084573260916,0.224318089462431,0.5679404822317415,0.2691880154145965,0.0,0.0
exp2_mlp_dice_s456_n50,adult,0.27775,adult_mlp,dice,,,,,,,,,,,,
exp2_rf_anchors_s999_n50,adult,12274.400148,adult_rf,anchors,55978.152018154935,89710.32013659467,0.19194444444444442,0.27163218683461315,0.30012891796266516,0.26440889062765555,0.18978166666666665,0.18995185822114682,0.0004266449503030459,0.0036195254599952864,,
exp2_logreg_anchors_s456_n100,adult,0.334947,adult_logreg,anchors,,,,,,,,,,,,
exp2_svm_anchors_s42_n100,adult,16083.754109,adult_svm,anchors,28797.46461425755,49764.41207707174,0.041342592592592584,0.058709672993620336,0.5178050478317995,0.2254973719467958,0.29315471767714885,0.2534664294490034,0.0008821849466995873,0.004663011797880157,,
exp2_mlp_anchors_s456_n100,adult,0.337283,adult_mlp,anchors,,,,,,,,,,,,
exp2_svm_dice_s999_n100,adult,61.213911,adult_svm,dice,5.59005207309383,65.52329166286093,0.0,0.0,0.0,0.0,0.009050312375372793,0.013059714913006264,0.0,0.0,0.0,0.0
exp2_logreg_anchors_s789_n50,adult,484.95101,adult_logreg,anchors,1193.7793310079724,4494.442978736692,0.03532407407407408,0.045408879160185864,0.49326612195399294,0.2016295855982578,0.2383258802430904,0.20332874866807082,0.0001984126984126984,0.001346285353467252,,
exp2_svm_dice_s999_n50,adult,83299.110808,adult_svm,dice,16773.475400045027,9999.998854796884,0.015509259259259257,0.004336804165554443,0.20066627204317838,0.24619454333925664,0.05395066506241528,0.096840792123273,0.3983233267188558,0.32823920739340773,0.0,0.0
exp2_logreg_anchors_s42_n50,adult,0.317118,adult_logreg,anchors,,,,,,,,,,,,
exp2_mlp_dice_s456_n100,adult,3162.598553,adult_mlp,dice,482.9616024209099,51.48638904657362,0.015347222222222224,0.005030716264961278,0.029124048808230753,0.17333540063250413,0.07778903074871624,0.1345735218429672,0.14630416138109348,0.24033200905199434,0.0,0.0
exp2_xgb_anchors_s42_n100,adult,1680.169473,adult_xgb,anchors,2722.023888185213,12144.379822157276,0.05585648148148147,0.07396197753729757,0.32516879297982143,0.21897127494827062,0.2270535430154996,0.24916406951894077,0.0010267827079560215,0.007346765506321252,,
exp2_mlp_anchors_s42_n100,adult,0.359545,adult_mlp,anchors,,,,,,,,,,,,
exp2_xgb_dice_s789_n50,adult,62248.798647,adult_xgb,dice,13821.803581819968,106988.69042993282,0.016898148148148148,0.008355808170268538,0.34606329363931004,0.2804017146094401,0.18892577904684005,0.23495334685678892,0.5641099079886708,0.26312737566300054,0.0,0.0
exp2_svm_shap_s789_n200,adult,263029.180959,adult_svm,shap,88978.70281116401,6495.9951606084,0.09259259259259257,1.3877787807814457e-17,0.9529902081700802,0.052845666520993054,0.679600621021799,0.11154687938528844,0.9701989698620707,0.025795893423528022,,
exp2_svm_anchors_s999_n50,adult,7137.228557,adult_svm,anchors,28872.60561288014,47284.61797999552,0.04347222222222222,0.05196084361851071,0.504689330206189,0.22864926477542458,0.28369576737289176,0.24568868555882,7.142857142857142e-05,0.0005275838049085794,,
