instance_id,quadrant,prediction_correct,metric_cost,metric_sparsity,metric_fidelity,metric_faithfulness_gap,metric_stability,metric_time_ms,metric_error
1962,FP,False,53052.12219999521,0.037037037037037035,0.8116385256994331,0.640926489053481,0.0,,
2083,FN,False,3002.5712000206113,0.018518518518518517,0.7428786620984758,0.06345400086989544,0.0,,
2100,TP,True,226343.7563769985,0.037037037037037035,0.6869083670512053,0.4403027750926958,0.4415401405938192,,
2106,FN,False,30023.19659999921,0.027777777777777776,0.28914664905315646,0.2733602949674931,0.0,,
2145,TN,True,42323.73502897099,0.018518518518518517,0.6771910205060642,0.12025488260073035,0.3285714285714285,,
2163,FP,False,171922.47453401797,0.037037037037037035,0.8210742230532432,0.5775004306281046,0.5027105684840621,,
2164,FP,False,55042.22549998667,0.037037037037037035,0.8014026069081222,0.6057292922110555,0.0,,
2206,FP,False,251073.58632609248,0.027777777777777776,0.834991255448227,0.5926974373606815,0.47386241428062037,,
2209,FP,False,56042.533900006674,0.05555555555555555,0.5646446969806928,0.4818706487331477,0.0,,
2220,TN,True,17744.286059984006,0.018518518518518517,0.6612535166377198,0.13651250721680913,0.22380952380952374,,
2222,TN,True,18571.867936989293,0.018518518518518517,0.7405565392299693,0.15189962869393764,0.2047619047619047,,
2256,TP,True,56539.16721895803,0.07407407407407407,0.41364352724582704,0.018161337535298472,0.46961403957701875,,
2258,TP,True,141340.69801901933,0.037037037037037035,0.7783057893656351,0.6503887297458006,0.5118288822510029,,
2268,TP,True,579896.8984789681,0.046296296296296294,0.5969500088056537,0.4906162338402964,0.5023809523809524,,
2279,FP,False,142271.81750000454,0.08333333333333333,0.6598922040917307,0.5314291558913309,0.0,,
2287,FP,False,207223.55959998094,0.16666666666666666,0.42862967003399516,0.13600187797747953,0.0,,
2302,TP,True,18131.323297973722,0.037037037037037035,0.49303650297082646,0.676407755428713,0.6374114593359574,,
2336,FN,False,10050.324900017586,0.018518518518518517,0.5853643482783127,0.2345634127966658,0.009523809523809521,,
2337,TP,True,24288.945676002186,0.046296296296296294,0.46024391129808984,0.6558729693073879,0.6498819457812763,,
2350,TP,True,141622.89664003765,0.027777777777777776,0.879819458057574,0.6495385924379395,0.5194142813557653,,
2367,FN,False,3004.216900008032,0.018518518518518517,0.35228897845322965,0.036936361767915496,0.0,,
2380,FN,False,5004.509499995038,0.018518518518518517,0.21732442917500983,0.17889566401048174,0.0,,
